0,4,7,12
0,3,8,20
0,4,7,16
0,7,12,15
0,12,20,27
0,7,24,28
0,5,22,26
0,15,20,24
0,13,18,22
0,12,16,19
0,12,16,19
0,7,12,16
0,10,13,19
0,12,15,21
0,8,15,20
0,3,15,18
0,4,12,16
0,4,7,16
0,12,16,21
0,11,16,21
0,7,12,19
0,16,19,24
0,7,12,16
0,4,12,16
0,7,19,28
0,9,19,28
0,9,16,24
0,7,15,20
0,3,15,18
0,4,7,16
0,12,16
0,7,17,19
0,9,17,19
0,10,16,19
0,16,19,24
0,4,7,12
0,3,8,20
0,4,7,16
0,7,12,15
0,12,20,27
0,7,24,28
0,5,22,26
0,15,20,24
0,13,18,22
0,12,16,19
0,12,16,19
0,7,12,16
0,10,13,19
0,12,15,21
0,8,15,20
0,3,15,18
0,4,12,16
0,4,7,16
0,12,16,21
0,11,16,21
0,7,12,19
0,16,19,24
0,7,12,16
0,4,12,16
0,7,19,28
0,9,19,28
0,9,16,24
0,7,15,20
0,3,15,18
0,4,7,16
0,12,16
0,7,17,19
0,9,17,19
0,10,16,19
0,16,19,24
0,8,15,20
0,7,12,16
0,12,17,24
0,12,16,24
0,12,14,24
0,12,16,24
0,7,12,16
0,7,12,16
0,5,10,14
0,3,8,12
0,7,12,16
0,12,16,19
0,10,14,17
0,8,12,15
0,12,16,19
0,7,12,16
0,5,10,14
0,3,8,12
0,7,12,16
0,4,7
0,2,7,11
0,3,8,12
0,7,12,15
0,3,7
0,2,4,9
0,4,9
0,4,7
0,7,12
0,12,19,27
0,9,16,24
0,3,12,19
0,3,10,19
0,16,19,28
0,8,15,24
0,12,19
0,4,12,19
0,3,10,15
0,3,9,15
0,3,12
0,7,15,19
0,15,18,20
0,7,16,19
0,5,16,19
0,7,16,19
0,16,19,24
0,3,12,19
0,3,8,20
0,4,7,16
0,3,9,17
0,3,12,19
0,3,15,20
0,3,12,20
0,3,8,18
0,2,7,16
0,3,12,19
0,7,16,21
0,10,19,24
0,4,12,19
0,16,19,24
0,7,16
0,8,15,27
0,4,12,19
